year,group_round,match_date,home_team,away_team,home_score,away_score,total_goals,margin,favorite_team,favorite_elo_edge,favorite_margin
2022,1,2022-11-21,England,Iran,6,2,8,4,England,65.48077456493502,4
2022,1,2022-11-23,Spain,Costa Rica,7,0,7,7,Spain,219.84844084378642,7
2022,1,2022-11-22,France,Australia,4,1,5,3,France,165.35375660017075,3
2022,1,2022-11-24,Portugal,Ghana,3,2,5,1,Portugal,233.2749759341864,1
2022,2,2022-11-28,Cameroon,Serbia,3,3,6,0,Serbia,112.57317156907084,0
2022,2,2022-11-27,Croatia,Canada,4,1,5,3,Croatia,108.71560749740706,3
2022,2,2022-11-28,South Korea,Ghana,2,3,5,1,South Korea,149.25750979456961,-1
2022,2,2022-11-25,Qatar,Senegal,1,3,4,2,Senegal,1.4785002312532924,2
2022,3,2022-12-01,Costa Rica,Germany,2,4,6,2,Germany,141.47983451603568,2
2022,3,2022-12-02,Serbia,Switzerland,2,3,5,1,Switzerland,28.702386709760276,1
2022,3,2022-11-29,Wales,England,0,3,3,3,England,176.23269447326174,3
2018,1,2018-06-15,Portugal,Spain,3,3,6,0,Spain,101.5275542154236,0
2018,1,2018-06-14,Russia,Saudi Arabia,5,0,5,5,Russia,110.07644669657088,5
2018,1,2018-06-18,Belgium,Panama,3,0,3,3,Belgium,185.15572262115984,3
2018,2,2018-06-24,England,Panama,6,1,7,5,England,228.0439731890283,5
2018,2,2018-06-23,Belgium,Tunisia,5,2,7,3,Belgium,165.9432798707969,3
2018,2,2018-06-19,Russia,Egypt,3,1,4,2,Russia,58.27242386259513,2
2018,2,2018-06-24,Japan,Senegal,2,2,4,0,Senegal,6.7742487538967,0
2018,2,2018-06-21,Argentina,Croatia,0,3,3,3,Argentina,92.78522778531146,-3
2018,2,2018-06-24,Poland,Colombia,0,3,3,3,Colombia,82.47163240858981,3
2018,3,2018-06-25,Spain,Morocco,2,2,4,0,Spain,259.8887228546712,0
2018,3,2018-06-27,Switzerland,Costa Rica,2,2,4,0,Switzerland,95.82742131035798,0
2018,3,2018-06-25,Russia,Uruguay,0,3,3,3,Uruguay,68.42972784817607,3
2018,3,2018-06-27,Mexico,Sweden,0,3,3,3,Mexico,106.89374737106618,-3
2014,1,2014-06-13,Spain,Netherlands,1,5,6,4,Spain,122.98185276560775,-4
2014,1,2014-06-16,Germany,Portugal,4,0,4,4,Germany,73.35229203517815,4
2014,1,2014-06-12,Brazil,Croatia,3,1,4,2,Brazil,236.5662220238628,2
2014,1,2014-06-13,Chile,Australia,3,1,4,2,Chile,76.04642945918226,2
2014,1,2014-06-14,Uruguay,Costa Rica,1,3,4,2,Uruguay,156.63816801718121,-2
2014,1,2014-06-14,Colombia,Greece,3,0,3,3,Colombia,39.70757239535874,3
2014,1,2014-06-15,France,Honduras,3,0,3,3,France,171.13676701559962,3
2014,2,2014-06-20,Switzerland,France,2,5,7,3,France,64.46072543117384,3
2014,2,2014-06-22,South Korea,Algeria,2,4,6,2,South Korea,55.15449203234243,-2
2014,2,2014-06-18,Australia,Netherlands,2,3,5,1,Netherlands,158.53876852158123,1
2014,2,2014-06-18,Cameroon,Croatia,0,4,4,4,Croatia,107.32449398538665,4
2014,2,2014-06-21,Germany,Ghana,2,2,4,0,Germany,204.61289208406447,0
2014,2,2014-06-22,United States,Portugal,2,2,4,0,Portugal,14.45401615595597,0
2014,3,2014-06-23,Brazil,Cameroon,4,1,5,3,Brazil,352.78610966819406,3
2014,3,2014-06-24,Japan,Colombia,1,4,5,3,Colombia,49.684848774850934,3
2014,3,2014-06-25,Nigeria,Argentina,2,3,5,1,Argentina,183.119708557281,1
2014,3,2014-06-23,Croatia,Mexico,1,3,4,2,Croatia,11.782680975970607,-2
2014,3,2014-06-25,Bosnia and Herzegovina,Iran,3,1,4,2,Iran,43.37165802406639,-2
2014,3,2014-06-23,Australia,Spain,0,3,3,3,Spain,246.0772589065939,3
2014,3,2014-06-25,Honduras,Switzerland,0,3,3,3,Switzerland,116.95757059040147,3
2010,1,2010-06-13,Germany,Australia,4,0,4,4,Germany,66.88368321830012,4
2010,1,2010-06-16,South Africa,Uruguay,0,3,3,3,Uruguay,50.69702008527224,3
2010,2,2010-06-21,Portugal,North Korea,7,0,7,7,Portugal,213.740473726348,7
2010,2,2010-06-17,Argentina,South Korea,4,1,5,3,Argentina,106.73138066268302,3
2010,2,2010-06-20,Brazil,Ivory Coast,3,1,4,2,Brazil,200.16319920983005,2
2010,2,2010-06-18,Slovenia,United States,2,2,4,0,United States,148.01545423638186,0
2010,3,2010-06-24,Slovakia,Italy,3,2,5,1,Italy,200.89857664209285,-1
2010,3,2010-06-24,Denmark,Japan,1,3,4,2,Denmark,6.886891056063405,-2
2010,3,2010-06-22,Nigeria,South Korea,2,2,4,0,South Korea,18.569433430085837,0
2010,3,2010-06-25,North Korea,Ivory Coast,0,3,3,3,Ivory Coast,168.88247585239424,3
