group_round,elo_bucket,matches,avg_total_goals,big_total_rate,favorite_win_rate,favorite_big_win_rate,avg_favorite_goals
1,0-50,26,2.0,0.19230769230769232,0.3076923076923077,0.038461538461538464,1.0769230769230769
1,50-100,32,2.375,0.21875,0.59375,0.1875,1.75
1,100-150,20,2.25,0.2,0.6,0.05,1.45
1,150-200,18,2.6666666666666665,0.2777777777777778,0.8333333333333334,0.2222222222222222,2.0555555555555554
1,200-300,14,3.0,0.2857142857142857,0.7142857142857143,0.14285714285714285,2.2857142857142856
1,300+,2,3.0,0.0,0.5,0.0,1.5
2,0-50,26,2.076923076923077,0.15384615384615385,0.5769230769230769,0.038461538461538464,1.3461538461538463
2,50-100,33,2.5757575757575757,0.18181818181818182,0.5151515151515151,0.12121212121212122,1.6363636363636365
2,100-150,19,3.210526315789474,0.47368421052631576,0.47368421052631576,0.21052631578947367,2.0526315789473686
2,150-200,20,2.65,0.35,0.65,0.25,2.0
2,200-300,12,3.1666666666666665,0.4166666666666667,0.6666666666666666,0.3333333333333333,2.5833333333333335
2,300+,2,1.5,0.0,0.5,0.0,1.0
3,0-50,34,2.7941176470588234,0.35294117647058826,0.3235294117647059,0.058823529411764705,1.3235294117647058
3,50-100,24,2.0,0.16666666666666666,0.5,0.08333333333333333,1.2916666666666667
3,100-150,21,2.6666666666666665,0.14285714285714285,0.47619047619047616,0.09523809523809523,1.619047619047619
3,150-200,17,2.9411764705882355,0.23529411764705882,0.7647058823529411,0.23529411764705882,2.1176470588235294
3,200-300,13,2.4615384615384617,0.15384615384615385,0.6923076923076923,0.15384615384615385,1.6923076923076923
3,300+,3,2.6666666666666665,0.3333333333333333,0.6666666666666666,0.3333333333333333,2.0
