home,away,date,scoreline,odds,market_implied,model_prob,edge,market_home,elo_home,xG_home,xG_away
巴西,日本,06-30 01:00,2:1,5.8,0.1248,0.0832,-0.0416,0.55,0.6106,1.27,0.94
巴西,日本,06-30 01:00,1:0,7.25,0.0999,0.1394,0.0396,0.55,0.6106,1.27,0.94
巴西,日本,06-30 01:00,1:1,7.5,0.0965,0.0,-0.0965,0.55,0.6106,1.27,0.94
巴西,日本,06-30 01:00,2:0,7.85,0.0922,0.0886,-0.0036,0.55,0.6106,1.27,0.94
巴西,日本,06-30 01:00,3:1,8.55,0.0847,0.0353,-0.0494,0.55,0.6106,1.27,0.94
巴西,日本,06-30 01:00,0:0,11.0,0.0658,0.0,-0.0658,0.55,0.6106,1.27,0.94
巴西,日本,06-30 01:00,2:2,12.0,0.0603,0.0,-0.0603,0.55,0.6106,1.27,0.94
巴西,日本,06-30 01:00,3:2,15.0,0.0483,0.0166,-0.0317,0.55,0.6106,1.27,0.94
巴西,日本,06-30 01:00,0:1,15.0,0.0483,0.103,0.0547,0.55,0.6106,1.27,0.94
巴西,日本,06-30 01:00,1:2,16.0,0.0453,0.0615,0.0162,0.55,0.6106,1.27,0.94
巴西,日本,06-30 01:00,3:0,18.0,0.0402,0.0375,-0.0027,0.55,0.6106,1.27,0.94
巴西,日本,06-30 01:00,4:1,28.0,0.0259,0.0112,-0.0147,0.55,0.6106,1.27,0.94
巴西,日本,06-30 01:00,2:3,32.0,0.0226,0.0122,-0.0104,0.55,0.6106,1.27,0.94
巴西,日本,06-30 01:00,0:2,33.0,0.0219,0.0484,0.0264,0.55,0.6106,1.27,0.94
巴西,日本,06-30 01:00,4:2,35.0,0.0207,0.0053,-0.0154,0.55,0.6106,1.27,0.94
巴西,日本,06-30 01:00,4:0,37.0,0.0196,0.0119,-0.0076,0.55,0.6106,1.27,0.94
巴西,日本,06-30 01:00,3:3,40.0,0.0181,0.0,-0.0181,0.55,0.6106,1.27,0.94
巴西,日本,06-30 01:00,1:3,45.0,0.0161,0.0192,0.0031,0.55,0.6106,1.27,0.94
巴西,日本,06-30 01:00,5:1,80.0,0.0091,0.0028,-0.0062,0.55,0.6106,1.27,0.94
巴西,日本,06-30 01:00,5:0,90.0,0.008,0.003,-0.005,0.55,0.6106,1.27,0.94
巴西,日本,06-30 01:00,5:2,90.0,0.008,0.0013,-0.0067,0.55,0.6106,1.27,0.94
巴西,日本,06-30 01:00,0:3,115.0,0.0063,0.0151,0.0088,0.55,0.6106,1.27,0.94
巴西,日本,06-30 01:00,2:4,125.0,0.0058,0.0029,-0.0029,0.55,0.6106,1.27,0.94
巴西,日本,06-30 01:00,1:4,175.0,0.0041,0.0045,0.0004,0.55,0.6106,1.27,0.94
巴西,日本,06-30 01:00,0:4,300.0,0.0024,0.0036,0.0011,0.55,0.6106,1.27,0.94
巴西,日本,06-30 01:00,1:5,400.0,0.0018,0.0008,-0.001,0.55,0.6106,1.27,0.94
巴西,日本,06-30 01:00,2:5,400.0,0.0018,0.0005,-0.0013,0.55,0.6106,1.27,0.94
巴西,日本,06-30 01:00,0:5,500.0,0.0014,0.0007,-0.0008,0.55,0.6106,1.27,0.94
德国,巴拉圭,06-30 04:30,2:0,5.5,0.1335,0.1048,-0.0287,0.75,0.6795,1.38,0.83
德国,巴拉圭,06-30 04:30,3:0,6.8,0.108,0.0483,-0.0597,0.75,0.6795,1.38,0.83
德国,巴拉圭,06-30 04:30,3:1,7.0,0.1049,0.04,-0.0649,0.75,0.6795,1.38,0.83
德国,巴拉圭,06-30 04:30,1:0,7.2,0.102,0.1516,0.0497,0.75,0.6795,1.38,0.83
德国,巴拉圭,06-30 04:30,2:1,7.25,0.1013,0.0867,-0.0145,0.75,0.6795,1.38,0.83
德国,巴拉圭,06-30 04:30,1:1,10.0,0.0734,0.0,-0.0734,0.75,0.6795,1.38,0.83
德国,巴拉圭,06-30 04:30,4:1,14.5,0.0506,0.0138,-0.0368,0.75,0.6795,1.38,0.83
德国,巴拉圭,06-30 04:30,4:0,15.0,0.0489,0.0167,-0.0323,0.75,0.6795,1.38,0.83
德国,巴拉圭,06-30 04:30,0:0,16.0,0.0459,0.0,-0.0459,0.75,0.6795,1.38,0.83
德国,巴拉圭,06-30 04:30,2:2,24.0,0.0306,0.0,-0.0306,0.75,0.6795,1.38,0.83
德国,巴拉圭,06-30 04:30,0:1,25.0,0.0294,0.0908,0.0614,0.75,0.6795,1.38,0.83
德国,巴拉圭,06-30 04:30,3:2,28.0,0.0262,0.0165,-0.0097,0.75,0.6795,1.38,0.83
德国,巴拉圭,06-30 04:30,5:0,30.0,0.0245,0.0046,-0.0199,0.75,0.6795,1.38,0.83
德国,巴拉圭,06-30 04:30,1:2,30.0,0.0245,0.0519,0.0275,0.75,0.6795,1.38,0.83
德国,巴拉圭,06-30 04:30,5:1,35.0,0.021,0.0038,-0.0172,0.75,0.6795,1.38,0.83
德国,巴拉圭,06-30 04:30,4:2,40.0,0.0184,0.0057,-0.0126,0.75,0.6795,1.38,0.83
德国,巴拉圭,06-30 04:30,5:2,60.0,0.0122,0.0016,-0.0107,0.75,0.6795,1.38,0.83
德国,巴拉圭,06-30 04:30,0:2,70.0,0.0105,0.0376,0.0271,0.75,0.6795,1.38,0.83
德国,巴拉圭,06-30 04:30,3:3,80.0,0.0092,0.0,-0.0092,0.75,0.6795,1.38,0.83
德国,巴拉圭,06-30 04:30,2:3,90.0,0.0082,0.0099,0.0017,0.75,0.6795,1.38,0.83
德国,巴拉圭,06-30 04:30,1:3,150.0,0.0049,0.0143,0.0094,0.75,0.6795,1.38,0.83
德国,巴拉圭,06-30 04:30,0:3,200.0,0.0037,0.0104,0.0067,0.75,0.6795,1.38,0.83
德国,巴拉圭,06-30 04:30,1:4,350.0,0.0021,0.003,0.0009,0.75,0.6795,1.38,0.83
德国,巴拉圭,06-30 04:30,2:4,350.0,0.0021,0.002,-0.0,0.75,0.6795,1.38,0.83
德国,巴拉圭,06-30 04:30,0:4,500.0,0.0015,0.0021,0.0007,0.75,0.6795,1.38,0.83
德国,巴拉圭,06-30 04:30,0:5,800.0,0.0009,0.0004,-0.0006,0.75,0.6795,1.38,0.83
德国,巴拉圭,06-30 04:30,1:5,800.0,0.0009,0.0005,-0.0004,0.75,0.6795,1.38,0.83
德国,巴拉圭,06-30 04:30,2:5,800.0,0.0009,0.0003,-0.0006,0.75,0.6795,1.38,0.83
荷兰,摩洛哥,06-30 09:00,1:1,5.25,0.137,0.0,-0.137,0.48,0.5251,1.14,1.07
荷兰,摩洛哥,06-30 09:00,2:1,5.5,0.1308,0.0764,-0.0544,0.48,0.5251,1.14,1.07
荷兰,摩洛哥,06-30 09:00,1:0,7.8,0.0922,0.1253,0.0331,0.48,0.5251,1.14,1.07
荷兰,摩洛哥,06-30 09:00,0:0,9.0,0.0799,0.0,-0.0799,0.48,0.5251,1.14,1.07
荷兰,摩洛哥,06-30 09:00,2:2,9.5,0.0757,0.0,-0.0757,0.48,0.5251,1.14,1.07
荷兰,摩洛哥,06-30 09:00,0:1,10.5,0.0685,0.1172,0.0487,0.48,0.5251,1.14,1.07
荷兰,摩洛哥,06-30 09:00,2:0,11.0,0.0654,0.0715,0.0062,0.48,0.5251,1.14,1.07
