leg_a_match_no,leg_a_home_team,leg_a_away_team,leg_a_home_team_zh,leg_a_away_team_zh,leg_a_scoreline,leg_a_probability,leg_a_decimal_odds,leg_a_value_signal,leg_b_match_no,leg_b_home_team,leg_b_away_team,leg_b_home_team_zh,leg_b_away_team_zh,leg_b_scoreline,leg_b_probability,leg_b_decimal_odds,leg_b_value_signal,joint_probability,joint_decimal_odds,return_per_2_stake,expected_return_per_2_stake,category,leg_a_underdog_probability,leg_b_underdog_probability,joint_upset_probability
19,United States,Paraguay,美国,巴拉圭,1-1,0.1276517005579571,5.8,no_value,20,Australia,Turkey,Australia,Turkey,1-1,0.1284527334744842,6.2,no_value,0.01639720986933593,35.96,71.92,1.17928733380264,high_hit,,,
7,Canada,Bosnia and Herzegovina,加拿大,波黑,2-0,0.1179615874183645,7.5,no_value,20,Australia,Turkey,Australia,Turkey,1-1,0.1284527334744842,6.2,no_value,0.015152488348878243,46.5,93.0,1.4091814164456766,high_hit,,,
7,Canada,Bosnia and Herzegovina,加拿大,波黑,2-0,0.1179615874183645,7.5,no_value,19,United States,Paraguay,美国,巴拉圭,1-1,0.1276517005579571,5.8,no_value,0.015057997234470346,43.5,87.0,1.31004575939892,high_hit,,,
19,United States,Paraguay,美国,巴拉圭,1-1,0.1276517005579571,5.8,no_value,20,Australia,Turkey,Australia,Turkey,0-1,0.1088875953414336,6.0,no_value,0.013899686715000687,34.8,69.6,0.9674181953640477,high_hit,,,
7,Canada,Bosnia and Herzegovina,加拿大,波黑,1-0,0.1060066435656121,6.0,no_value,20,Australia,Turkey,Australia,Turkey,1-1,0.1284527334744842,6.2,no_value,0.013616843132458215,37.2,74.4,1.0130931290548912,high_hit,,,
7,Canada,Bosnia and Herzegovina,加拿大,波黑,3-0,0.0880643929713576,15.5,strong_value,20,Australia,Turkey,Australia,Turkey,1-1,0.1284527334744842,6.2,no_value,0.011312111998942036,96.10000000000001,192.20000000000002,2.1741879261966597,high_payout,,,
7,Canada,Bosnia and Herzegovina,加拿大,波黑,3-0,0.0880643929713576,15.5,strong_value,19,United States,Paraguay,美国,巴拉圭,1-1,0.1276517005579571,5.8,no_value,0.011241569521398003,89.89999999999999,179.79999999999998,2.0212341999473606,high_payout,,,
19,United States,Paraguay,美国,巴拉圭,1-1,0.1276517005579571,5.8,no_value,20,Australia,Turkey,Australia,Turkey,0-0,0.0846560135884928,9.5,no_value,0.01080648409702863,55.1,110.2,1.190874547492555,high_payout,,,
19,United States,Paraguay,美国,巴拉圭,2-1,0.0831412692167429,,,20,Australia,Turkey,Australia,Turkey,1-0,0.0829757901096566,,,0.006898712503978913,51.75,103.5,,upset,0.3419099890002888,0.3152046714492429,0.10777162574805028
7,Canada,Bosnia and Herzegovina,加拿大,波黑,0-1,0.0414465175474387,,,19,United States,Paraguay,美国,巴拉圭,2-1,0.0831412692167429,,,0.0034459160735080597,49.5,99.0,,upset,0.1278376949696878,0.3419099890002888,0.043708984880908235
