group_name,team_name_zh,team_name,group_winner_probability,group_runner_up_probability,top2_probability,third_place_advance_probability,group_advance_probability,not_advance_probability
Group A,???,Mexico,0.5701,0.2613,0.8314,0.10085,0.93225,0.06774999999999998
Group A,??,South Korea,0.2183,0.3288,0.5470999999999999,0.19945,0.74655,0.25344999999999995
Group A,??,Czech Republic,0.16875,0.28215,0.4509,0.21745,0.66835,0.33165
Group A,??,South Africa,0.04285,0.12775,0.1706,0.15515,0.32575,0.67425
Group B,???,Canada,0.44125,0.3613,0.80255,0.11275,0.9153,0.0847
Group B,??,Switzerland,0.4505,0.34785,0.79835,0.11555,0.9139,0.08609999999999995
Group B,??,Bosnia and Herzegovina,0.0728,0.1764,0.2492,0.2374,0.4866,0.5134000000000001
Group B,???,Qatar,0.03545,0.11445,0.1499,0.17535,0.32525,0.67475
Group C,??,Brazil,0.6174,0.27155,0.8889499999999999,0.0758,0.96475,0.035250000000000004
Group C,???,Morocco,0.288,0.4453,0.7333,0.1676,0.9009,0.09909999999999997
Group C,Scotland,Scotland,0.07895,0.21725,0.2962,0.2735,0.5697,0.4303
Group C,??,Haiti,0.01565,0.0659,0.08155,0.149,0.23055,0.76945
Group D,???,Paraguay,0.3439,0.2765,0.6204000000000001,0.16725,0.78765,0.21235000000000004
Group D,???,Turkey,0.2337,0.2519,0.48560000000000003,0.18275,0.66835,0.33165
Group D,??,United States,0.22285,0.23375,0.4566,0.1945,0.6511,0.3489
Group D,????,Australia,0.19955,0.23785,0.4374,0.19135,0.62875,0.37124999999999997
Group E,????,Ecuador,0.45335,0.3462,0.79955,0.1426,0.94215,0.05784999999999996
Group E,??,Germany,0.4132,0.36895,0.78215,0.15495,0.9371,0.06289999999999996
Group E,????,Ivory Coast,0.125,0.24365,0.36865000000000003,0.31055,0.6792,0.3208
Group E,Curaçao,Curaçao,0.00845,0.0412,0.04965,0.1053,0.15495,0.84505
Group F,??,Netherlands,0.4372,0.3097,0.7468999999999999,0.13375,0.88065,0.11934999999999996
Group F,??,Japan,0.3764,0.32665,0.70305,0.1481,0.85115,0.14885000000000004
Group F,??,Sweden,0.09825,0.1891,0.28735,0.2135,0.50085,0.49915
Group F,???,Tunisia,0.08815,0.17455,0.26270000000000004,0.19945,0.46215,0.5378499999999999
Group G,???,Belgium,0.4758,0.29325,0.76905,0.13205,0.9011,0.09889999999999999
Group G,??,Iran,0.3193,0.3324,0.6517,0.17545,0.82715,0.17284999999999995
Group G,??,Egypt,0.1632,0.2714,0.4346,0.2486,0.6832,0.31679999999999997
Group G,???,New Zealand,0.0417,0.10295,0.14465,0.1439,0.28855,0.71145
Group H,???,Spain,0.6427,0.2859,0.9286000000000001,0.05105,0.97965,0.02034999999999998
Group H,???,Uruguay,0.3086,0.49535,0.8039499999999999,0.11195,0.9159,0.08409999999999995
Group H,??,Saudi Arabia,0.03115,0.13125,0.16240000000000002,0.2311,0.3935,0.6065
Group H,???,Cape Verde,0.01755,0.0875,0.10504999999999999,0.19625,0.3013,0.6987
Group I,??,France,0.5798,0.25265,0.8324499999999999,0.095,0.92745,0.07255
Group I,????,Senegal,0.1828,0.31695,0.49975,0.20095,0.7007,0.2993
Group I,??,Norway,0.17365,0.27995,0.4536,0.21555,0.66915,0.33085
Group I,???,Iraq,0.06375,0.15045,0.2142,0.1725,0.3867,0.6133
Group J,???,Argentina,0.78125,0.16595,0.9472,0.03715,0.98435,0.015650000000000053
Group J,?????,Algeria,0.0995,0.36745,0.46695,0.20625,0.6732,0.3268
Group J,???,Austria,0.0978,0.349,0.4468,0.2219,0.6687,0.33130000000000004
Group J,??,Jordan,0.02145,0.1176,0.13905,0.13545,0.2745,0.7255
Group K,????,Colombia,0.53385,0.3133,0.8471500000000001,0.09325,0.9404,0.059599999999999986
Group K,???,Portugal,0.3655,0.3929,0.7584,0.1294,0.8878,0.11219999999999997
Group K,????,Uzbekistan,0.07105,0.18335,0.2544,0.23765,0.49205,0.50795
Group K,??(?),DR Congo,0.0296,0.11045,0.14005,0.1598,0.29985,0.70015
Group L,???,England,0.54175,0.3009,0.8426499999999999,0.09415,0.9368,0.06320000000000003
Group L,????,Croatia,0.33495,0.3794,0.71435,0.14925,0.8636,0.13639999999999997
Group L,???,Panama,0.0851,0.18395,0.26905,0.2222,0.49125,0.50875
Group L,??,Ghana,0.0382,0.13575,0.17395,0.2153,0.38925,0.61075
