world_cup_year,backtest_stage,calibration_type,confidence_bucket,matches,mean_confidence,empirical_accuracy,calibration_gap,avg_actual_outcome_probability,avg_row_log_loss
combined,all,top_class_confidence,"(0.2, 0.4]",20,0.37764093009437094,0.5,0.12235906990562906,0.34730702156681936,1.0647223462601025
combined,all,top_class_confidence,"(0.4, 0.6]",76,0.49890352701066476,0.5,0.0010964729893352398,0.37970017515000537,1.0383295892077395
combined,all,top_class_confidence,"(0.6, 0.8]",31,0.6764489270328506,0.6774193548387096,0.0009704278058589866,0.5151709440233952,0.8643605851693803
combined,all,top_class_confidence,"(0.8, 1.0]",1,0.8455073781257134,0.0,-0.8455073781257134,0.04,3.2188758248682006
combined,group_stage,top_class_confidence,"(0.2, 0.4]",10,0.37255229496538617,0.5,0.12744770503461383,0.34042153094694466,1.0838027055385528
combined,group_stage,top_class_confidence,"(0.4, 0.6]",59,0.49418763454922116,0.5084745762711864,0.014286941721965263,0.3788639944840314,1.037343968312405
combined,group_stage,top_class_confidence,"(0.6, 0.8]",26,0.6780706852454184,0.6538461538461539,-0.024224531399264504,0.49933165791792905,0.9195637449468368
combined,group_stage,top_class_confidence,"(0.8, 1.0]",1,0.8455073781257134,0.0,-0.8455073781257134,0.04,3.2188758248682006
combined,knockout,top_class_confidence,"(0.2, 0.4]",10,0.3827295652233557,0.5,0.11727043477664428,0.3541925121866941,1.0456419869816516
combined,knockout,top_class_confidence,"(0.4, 0.6]",17,0.5152704479062626,0.47058823529411764,-0.044682212612145,0.3826022139319152,1.0417502734915476
combined,knockout,top_class_confidence,"(0.6, 0.8]",5,0.6680157843274989,0.8,0.13198421567250118,0.5975352317718201,0.5773041543266071
2018,all,top_class_confidence,"(0.2, 0.4]",13,0.3786296304449302,0.3076923076923077,-0.07093732275262249,0.3425893188846325,1.0771024981716206
2018,all,top_class_confidence,"(0.4, 0.6]",37,0.4982931651296395,0.5945945945945946,0.09630142946495512,0.4029672524594688,0.9719135828444966
2018,all,top_class_confidence,"(0.6, 0.8]",14,0.6804554039633806,0.6428571428571429,-0.03759826110623765,0.505404248792934,0.8625786308878581
2018,group_stage,top_class_confidence,"(0.2, 0.4]",5,0.37690886571491317,0.2,-0.17690886571491315,0.3402781617314624,1.0809079794076606
2018,group_stage,top_class_confidence,"(0.4, 0.6]",30,0.49591852042875295,0.6333333333333333,0.13741481290458035,0.4128102677719833,0.9392869339623647
2018,group_stage,top_class_confidence,"(0.6, 0.8]",13,0.6810354400442247,0.6153846153846154,-0.06565082465960925,0.4925188113991283,0.8984588060186647
2018,knockout,top_class_confidence,"(0.2, 0.4]",8,0.37970510840119087,0.375,-0.004705108401190872,0.3440337921053639,1.0747240723990958
2018,knockout,top_class_confidence,"(0.4, 0.6]",7,0.5084702138477246,0.42857142857142855,-0.07989878527629607,0.3607829011201208,1.1117420780536333
2018,knockout,top_class_confidence,"(0.6, 0.8]",1,0.6729149349124076,1.0,0.3270850650875924,0.6729149349124076,0.3961363541873728
2022,all,top_class_confidence,"(0.2, 0.4]",7,0.37580477230047515,0.8571428571428571,0.48133808484238194,0.3560684694051664,1.0417306355672826
2022,all,top_class_confidence,"(0.4, 0.6]",39,0.49948258828240644,0.41025641025641024,-0.0892261780259962,0.35762628129230944,1.1013396465267136
2022,all,top_class_confidence,"(0.6, 0.8]",17,0.6731494754430023,0.7058823529411765,0.03273287749817422,0.5232141048014224,0.8658280769306341
2022,all,top_class_confidence,"(0.8, 1.0]",1,0.8455073781257134,0.0,-0.8455073781257134,0.04,3.2188758248682006
2022,group_stage,top_class_confidence,"(0.2, 0.4]",5,0.36819572421585917,0.8,0.4318042757841409,0.3405649001624269,1.0866974316694455
2022,group_stage,top_class_confidence,"(0.4, 0.6]",29,0.4923970629497057,0.3793103448275862,-0.11308671812211951,0.3437471600482191,1.1387822797089984
2022,group_stage,top_class_confidence,"(0.6, 0.8]",13,0.6751059304466118,0.6923076923076923,0.017201761861080467,0.5061445044367298,0.9406686838750093
2022,group_stage,top_class_confidence,"(0.8, 1.0]",1,0.8455073781257134,0.0,-0.8455073781257134,0.04,3.2188758248682006
2022,knockout,top_class_confidence,"(0.2, 0.4]",2,0.39482739251201515,1.0,0.6051726074879848,0.39482739251201515,0.9293136453118751
2022,knockout,top_class_confidence,"(0.4, 0.6]",10,0.5200306117472392,0.5,-0.02003061174723919,0.39787573290017125,0.9927560102980879
2022,knockout,top_class_confidence,"(0.6, 0.8]",4,0.6667909966812717,0.75,0.08320900331872827,0.5786903059866733,0.6225961043614158
