world_cup_year,backtest_stage,diagnostic_dimension,diagnostic_value,matches,outcome_accuracy,outcome_log_loss,outcome_brier,avg_top_probability,avg_actual_outcome_probability,upset_rate,high_confidence_miss_rate
combined,all,same_confederation,False,105,0.5428571428571428,1.025492420135923,0.6039302690692023,0.537372308346458,0.40727803814929825,0.45714285714285713,0.10476190476190476
combined,all,same_confederation,True,23,0.5217391304347826,0.9802106763407533,0.5845411337411786,0.47220949541147483,0.39345473920807583,0.4782608695652174,0.0
combined,all,confederation_pair,AFC_vs_CAF,6,0.3333333333333333,1.2195046159243836,0.7399441349238436,0.41966981607437853,0.30577427834969445,0.6666666666666666,0.0
combined,all,confederation_pair,AFC_vs_CONCACAF,4,0.5,1.0977108295222746,0.6688034605232716,0.5210416562085775,0.3643525461688977,0.5,0.25
combined,all,confederation_pair,AFC_vs_CONMEBOL,8,0.625,1.1096777073699433,0.6150659893720478,0.6204077243021893,0.43623006226108824,0.375,0.25
combined,all,confederation_pair,AFC_vs_UEFA,19,0.5789473684210527,1.0325458586867047,0.6067713442750499,0.509329630529791,0.39276632462615085,0.42105263157894735,0.10526315789473684
combined,all,confederation_pair,CAF_vs_CONCACAF,2,0.0,1.1825501748305216,0.7515702412516981,0.46651701776452764,0.3069757035968901,1.0,0.0
combined,all,confederation_pair,CAF_vs_CONMEBOL,6,0.6666666666666666,1.139134416336473,0.5980464071470021,0.6198905806111726,0.4410269982744885,0.3333333333333333,0.16666666666666666
combined,all,confederation_pair,CAF_vs_UEFA,21,0.5714285714285714,1.0015586560803353,0.597803028639437,0.5313980393805254,0.4045554097066535,0.42857142857142855,0.09523809523809523
combined,all,confederation_pair,CONCACAF_vs_CONMEBOL,3,1.0,0.3550706289192694,0.14064042550811848,0.7039409905650226,0.7039409905650226,0.0,0.0
combined,all,confederation_pair,CONCACAF_vs_UEFA,14,0.5,0.9539464754776231,0.5584124751075775,0.5518576297655324,0.4308660741856732,0.5,0.0
combined,all,confederation_pair,CONMEBOL_vs_UEFA,22,0.5,1.0372699526280964,0.6347108040719879,0.52417345209156,0.391818748815548,0.5,0.13636363636363635
combined,all,confederation_pair,UEFA_vs_UEFA,23,0.5217391304347826,0.9802106763407533,0.5845411337411786,0.47220949541147483,0.39345473920807583,0.4782608695652174,0.0
combined,all,favorite_matchup_profile,AFC_favorite_vs_CAF,4,0.5,1.2055504134813944,0.7279381198315542,0.42865750311704887,0.31347228290062573,0.5,0.0
combined,all,favorite_matchup_profile,AFC_favorite_vs_CONCACAF,2,0.0,1.4760704556476256,0.9408568110827433,0.5546106487161666,0.24123242863680722,1.0,0.5
combined,all,favorite_matchup_profile,AFC_favorite_vs_UEFA,1,1.0,0.7702757274321147,0.4327386822540159,0.4628854205056766,0.4628854205056766,0.0,0.0
combined,all,favorite_matchup_profile,CAF_favorite_vs_AFC,2,0.0,1.2474130208103624,0.7639561651084221,0.40169444198903775,0.29037826924783183,1.0,0.0
combined,all,favorite_matchup_profile,CAF_favorite_vs_UEFA,1,1.0,0.9145995755140444,0.5472809118618984,0.4006770348685958,0.4006770348685958,0.0,0.0
combined,all,favorite_matchup_profile,CONCACAF_favorite_vs_AFC,2,1.0,0.7193512033969235,0.39675010996379967,0.4874726637009882,0.4874726637009882,0.0,0.0
combined,all,favorite_matchup_profile,CONCACAF_favorite_vs_CAF,2,0.0,1.1825501748305216,0.7515702412516981,0.46651701776452764,0.3069757035968901,1.0,0.0
combined,all,favorite_matchup_profile,CONCACAF_favorite_vs_UEFA,4,0.0,1.3389674004625847,0.8300551252614449,0.4642486304343045,0.26780036083885184,1.0,0.0
combined,all,favorite_matchup_profile,CONMEBOL_favorite_vs_AFC,8,0.625,1.1096777073699433,0.6150659893720478,0.6204077243021893,0.43623006226108824,0.375,0.25
combined,all,favorite_matchup_profile,CONMEBOL_favorite_vs_CAF,6,0.6666666666666666,1.139134416336473,0.5980464071470021,0.6198905806111726,0.4410269982744885,0.3333333333333333,0.16666666666666666
combined,all,favorite_matchup_profile,CONMEBOL_favorite_vs_CONCACAF,3,1.0,0.3550706289192694,0.14064042550811848,0.7039409905650226,0.7039409905650226,0.0,0.0
combined,all,favorite_matchup_profile,CONMEBOL_favorite_vs_UEFA,18,0.4444444444444444,1.042492293856,0.6400907391770746,0.5515846877766795,0.3975978862836084,0.5555555555555556,0.16666666666666666
combined,all,favorite_matchup_profile,UEFA_favorite_vs_AFC,18,0.5555555555555556,1.047116421534182,0.6164398254984408,0.5119098644200197,0.3888708192995105,0.4444444444444444,0.1111111111111111
combined,all,favorite_matchup_profile,UEFA_favorite_vs_CAF,20,0.55,1.00590661010865,0.6003291344783139,0.5379340896061219,0.4047493284485565,0.45,0.1
combined,all,favorite_matchup_profile,UEFA_favorite_vs_CONCACAF,10,0.7,0.7999381054836385,0.44975541504603056,0.5869012294980236,0.4960923595244018,0.3,0.0
combined,all,favorite_matchup_profile,UEFA_favorite_vs_CONMEBOL,4,0.75,1.0137694171025307,0.6105010960990976,0.4008228915085227,0.365812630209276,0.25,0.0
combined,all,favorite_matchup_profile,UEFA_favorite_vs_UEFA,23,0.5217391304347826,0.9802106763407533,0.5845411337411786,0.47220949541147483,0.39345473920807583,0.4782608695652174,0.0
combined,group_stage,same_confederation,False,85,0.5411764705882353,1.043643647474505,0.6134928461313094,0.5399119127412941,0.4033842335159024,0.4588235294117647,0.11764705882352941
combined,group_stage,same_confederation,True,11,0.5454545454545454,0.9508313039973132,0.5644872437897032,0.49685690905040847,0.40837765827652234,0.45454545454545453,0.0
combined,group_stage,confederation_pair,AFC_vs_CAF,6,0.3333333333333333,1.2195046159243836,0.7399441349238436,0.41966981607437853,0.30577427834969445,0.6666666666666666,0.0
combined,group_stage,confederation_pair,AFC_vs_CONCACAF,4,0.5,1.0977108295222746,0.6688034605232716,0.5210416562085775,0.3643525461688977,0.5,0.25
combined,group_stage,confederation_pair,AFC_vs_CONMEBOL,6,0.5,1.3728413935710009,0.7810098298690065,0.5851851768302002,0.33961496077539866,0.5,0.3333333333333333
combined,group_stage,confederation_pair,AFC_vs_UEFA,17,0.5882352941176471,1.0505246899231635,0.6186099092236702,0.5094528509456502,0.38692510910049,0.4117647058823529,0.11764705882352941
combined,group_stage,confederation_pair,CAF_vs_CONCACAF,2,0.0,1.1825501748305216,0.7515702412516981,0.46651701776452764,0.3069757035968901,1.0,0.0
combined,group_stage,confederation_pair,CAF_vs_CONMEBOL,6,0.6666666666666666,1.139134416336473,0.5980464071470021,0.6198905806111726,0.4410269982744885,0.3333333333333333,0.16666666666666666
combined,group_stage,confederation_pair,CAF_vs_UEFA,16,0.5625,0.9970722678062343,0.5937548836036125,0.5342374360154063,0.40830538458721255,0.4375,0.125
combined,group_stage,confederation_pair,CONCACAF_vs_CONMEBOL,2,1.0,0.33453776628521764,0.1288884249691603,0.7194540183913299,0.7194540183913299,0.0,0.0
combined,group_stage,confederation_pair,CONCACAF_vs_UEFA,13,0.46153846153846156,0.9728384219160412,0.571577687022812,0.5564270241354408,0.4261284258186693,0.5384615384615384,0.0
combined,group_stage,confederation_pair,CONMEBOL_vs_UEFA,13,0.6153846153846154,0.9566794447322422,0.5807539991715875,0.5573755145143221,0.431431557850443,0.38461538461538464,0.15384615384615385
combined,group_stage,confederation_pair,UEFA_vs_UEFA,11,0.5454545454545454,0.9508313039973132,0.5644872437897032,0.49685690905040847,0.40837765827652234,0.45454545454545453,0.0
combined,group_stage,favorite_matchup_profile,AFC_favorite_vs_CAF,4,0.5,1.2055504134813944,0.7279381198315542,0.42865750311704887,0.31347228290062573,0.5,0.0
combined,group_stage,favorite_matchup_profile,AFC_favorite_vs_CONCACAF,2,0.0,1.4760704556476256,0.9408568110827433,0.5546106487161666,0.24123242863680722,1.0,0.5
combined,group_stage,favorite_matchup_profile,AFC_favorite_vs_UEFA,1,1.0,0.7702757274321147,0.4327386822540159,0.4628854205056766,0.4628854205056766,0.0,0.0
combined,group_stage,favorite_matchup_profile,CAF_favorite_vs_AFC,2,0.0,1.2474130208103624,0.7639561651084221,0.40169444198903775,0.29037826924783183,1.0,0.0
