world_cup_year,backtest_stage,match_date,home_team,away_team,home_confederation,away_confederation,home_score,away_score,actual_outcome,predicted_outcome,top_probability,actual_outcome_probability,row_log_loss,confidence_bucket,confederation_pair,favorite_matchup_profile,is_high_confidence_miss
2022,group_stage,2022-12-02,Cameroon,Brazil,CAF,CONMEBOL,1,0,home_win,away_win,0.8455073781257134,0.04,3.2188758248682006,"(0.8, 1.0]",CAF_vs_CONMEBOL,CONMEBOL_favorite_vs_CAF,True
2022,group_stage,2022-11-22,Argentina,Saudi Arabia,CONMEBOL,AFC,1,2,away_win,home_win,0.7720652998415544,0.0510848452252342,2.974267396693086,"(0.6, 0.8]",AFC_vs_CONMEBOL,CONMEBOL_favorite_vs_AFC,True
2018,group_stage,2018-06-27,South Korea,Germany,AFC,UEFA,2,0,home_win,away_win,0.6774721506370033,0.1163941919595339,2.1507726421845725,"(0.6, 0.8]",AFC_vs_UEFA,UEFA_favorite_vs_AFC,True
2022,group_stage,2022-11-30,Tunisia,France,CAF,UEFA,1,0,home_win,away_win,0.6545850473488708,0.135253823804153,2.0006020895357643,"(0.6, 0.8]",CAF_vs_UEFA,UEFA_favorite_vs_CAF,True
2022,group_stage,2022-12-01,Japan,Spain,AFC,UEFA,2,1,home_win,away_win,0.6187421110308964,0.1505556426824212,1.893422544302294,"(0.6, 0.8]",AFC_vs_UEFA,UEFA_favorite_vs_AFC,True
2018,knockout,2018-07-06,Brazil,Belgium,CONMEBOL,UEFA,1,2,away_win,home_win,0.5872293391026523,0.1578973632264526,1.8458100568691373,"(0.4, 0.6]",CONMEBOL_vs_UEFA,CONMEBOL_favorite_vs_UEFA,False
2018,group_stage,2018-06-19,Colombia,Japan,CONMEBOL,AFC,1,2,away_win,home_win,0.6107641911995171,0.163212017356731,1.8127052033988271,"(0.6, 0.8]",AFC_vs_CONMEBOL,CONMEBOL_favorite_vs_AFC,True
2022,group_stage,2022-11-27,Japan,Costa Rica,AFC,CONCACAF,0,1,away_win,home_win,0.6519973783832766,0.1639969867643233,1.8079072247150039,"(0.6, 0.8]",AFC_vs_CONCACAF,AFC_favorite_vs_CONCACAF,True
2022,group_stage,2022-12-02,South Korea,Portugal,AFC,UEFA,2,1,home_win,away_win,0.5769965913179673,0.1771476622418847,1.7307716442472327,"(0.4, 0.6]",AFC_vs_UEFA,UEFA_favorite_vs_AFC,False
2018,group_stage,2018-06-16,Argentina,Iceland,CONMEBOL,UEFA,1,1,draw,home_win,0.7188106588239169,0.1859124485374331,1.6824794228741462,"(0.6, 0.8]",CONMEBOL_vs_UEFA,CONMEBOL_favorite_vs_UEFA,True
2022,group_stage,2022-11-27,Belgium,Morocco,UEFA,CAF,0,2,away_win,home_win,0.5355462980313089,0.1959430667779976,1.629931137570296,"(0.4, 0.6]",CAF_vs_UEFA,UEFA_favorite_vs_CAF,False
2022,group_stage,2022-11-28,South Korea,Ghana,AFC,CAF,2,3,away_win,home_win,0.5212296452734866,0.1986428846749552,1.6162466157624433,"(0.4, 0.6]",AFC_vs_CAF,AFC_favorite_vs_CAF,False
